Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
12/08/2021,01/01/2020,12/04/2021,Female,36 Years,6075,566
12/08/2021,01/01/2020,12/04/2021,Female,37 Years,6457,579
12/08/2021,01/01/2020,12/04/2021,Female,38 Years,6813,687
12/08/2021,01/01/2020,12/04/2021,Female,39 Years,7236,725
12/08/2021,01/01/2020,12/04/2021,Female,40 Years,7564,824
12/08/2021,01/01/2020,12/04/2021,Female,41 Years,8000,895
12/08/2021,01/01/2020,12/04/2021,Female,42 Years,8165,970
12/08/2021,01/01/2020,12/04/2021,Female,43 Years,8487,1066
12/08/2021,01/01/2020,12/04/2021,Female,44 Years,8869,1134
12/08/2021,01/01/2020,12/04/2021,Female,45 Years,9387,1188
12/08/2021,01/01/2020,12/04/2021,Female,46 Years,10149,1319
12/08/2021,01/01/2020,12/04/2021,Female,47 Years,10900,1405
12/08/2021,01/01/2020,12/04/2021,Female,48 Years,12016,1631
12/08/2021,01/01/2020,12/04/2021,Female,49 Years,13561,1820
12/08/2021,01/01/2020,12/04/2021,Female,50 Years,15097,2005
12/08/2021,01/01/2020,12/04/2021,Female,51 Years,15761,2011
12/08/2021,01/01/2020,12/04/2021,Female,52 Years,16702,2172
12/08/2021,01/01/2020,12/04/2021,Female,53 Years,17919,2325
12/08/2021,01/01/2020,12/04/2021,Female,54 Years,19564,2533
12/08/2021,01/01/2020,12/04/2021,Female,55 Years,21961,2760
12/08/2021,01/01/2020,12/04/2021,Female,56 Years,24681,3125
12/08/2021,01/01/2020,12/04/2021,Female,57 Years,27230,3375
12/08/2021,01/01/2020,12/04/2021,Female,58 Years,29079,3793
12/08/2021,01/01/2020,12/04/2021,Female,59 Years,32307,4141
12/08/2021,01/01/2020,12/04/2021,Female,60 Years,34631,4480
12/08/2021,01/01/2020,12/04/2021,Female,61 Years,36911,4755
12/08/2021,01/01/2020,12/04/2021,Female,62 Years,39034,5184
12/08/2021,01/01/2020,12/04/2021,Female,63 Years,41622,5598
12/08/2021,01/01/2020,12/04/2021,Female,64 Years,43394,5872
12/08/2021,01/01/2020,12/04/2021,Female,65 Years,44858,6047
12/08/2021,01/01/2020,12/04/2021,Female,66 Years,46403,6207
12/08/2021,01/01/2020,12/04/2021,Female,67 Years,48151,6335
12/08/2021,01/01/2020,12/04/2021,Female,68 Years,49756,6626
12/08/2021,01/01/2020,12/04/2021,Female,69 Years,51804,6920
12/08/2021,01/01/2020,12/04/2021,Female,70 Years,54142,6989
12/08/2021,01/01/2020,12/04/2021,Female,71 Years,57915,7617
12/08/2021,01/01/2020,12/04/2021,Female,72 Years,62287,8044
12/08/2021,01/01/2020,12/04/2021,Female,73 Years,67501,8519
12/08/2021,01/01/2020,12/04/2021,Female,74 Years,66071,8574
12/08/2021,01/01/2020,12/04/2021,Female,75 Years,61635,7782
12/08/2021,01/01/2020,12/04/2021,Female,76 Years,66202,8253
12/08/2021,01/01/2020,12/04/2021,Female,77 Years,72270,8916
12/08/2021,01/01/2020,12/04/2021,Female,78 Years,74320,9200
12/08/2021,01/01/2020,12/04/2021,Female,79 Years,72808,8770
12/08/2021,01/01/2020,12/04/2021,Female,80 Years,74229,8831
12/08/2021,01/01/2020,12/04/2021,Female,81 Years,76190,9056
12/08/2021,01/01/2020,12/04/2021,Female,82 Years,79360,9470
12/08/2021,01/01/2020,12/04/2021,Female,83 Years,81024,9345
12/08/2021,01/01/2020,12/04/2021,Female,84 Years,82973,9624
12/08/2021,01/01/2020,12/04/2021,Female,85 Years and over,1117419,118091
12/08/2021,01/01/2020,12/04/2021,Male,<1 Year,19851,88
12/08/2021,01/01/2020,12/04/2021,Male,01 Year,1420,20
12/08/2021,01/01/2020,12/04/2021,Male,02 Years,964,6
12/08/2021,01/01/2020,12/04/2021,Male,03 Years,798,5
12/08/2021,01/01/2020,12/04/2021,Male,04 Years,615,5
12/08/2021,01/01/2020,12/04/2021,Male,05 Years,571,8
12/08/2021,01/01/2020,12/04/2021,Male,06 Years,491,3
12/08/2021,01/01/2020,12/04/2021,Male,07 Years,466,7
12/08/2021,01/01/2020,12/04/2021,Male,08 Years,418,9
12/08/2021,01/01/2020,12/04/2021,Male,09 Years,451,15
12/08/2021,01/01/2020,12/04/2021,Male,10 Years,523,10
12/08/2021,01/01/2020,12/04/2021,Male,11 Years,573,9
12/08/2021,01/01/2020,12/04/2021,Male,12 Years,648,16
12/08/2021,01/01/2020,12/04/2021,Male,13 Years,938,20
12/08/2021,01/01/2020,12/04/2021,Male,14 Years,1249,13
12/08/2021,01/01/2020,12/04/2021,Male,15 Years,1716,33
12/08/2021,01/01/2020,12/04/2021,Male,16 Years,2469,36
12/08/2021,01/01/2020,12/04/2021,Male,17 Years,3284,51
12/08/2021,01/01/2020,12/04/2021,Male,18 Years,4510,68
12/08/2021,01/01/2020,12/04/2021,Male,19 Years,5470,101
12/08/2021,01/01/2020,12/04/2021,Male,20 Years,5716,115
12/08/2021,01/01/2020,12/04/2021,Male,21 Years,6537,154
12/08/2021,01/01/2020,12/04/2021,Male,22 Years,6800,166
12/08/2021,01/01/2020,12/04/2021,Male,23 Years,7016,200
12/08/2021,01/01/2020,12/04/2021,Male,24 Years,7457,245
12/08/2021,01/01/2020,12/04/2021,Male,25 Years,8067,246
12/08/2021,01/01/2020,12/04/2021,Male,26 Years,8528,288
12/08/2021,01/01/2020,12/04/2021,Male,27 Years,9104,363
12/08/2021,01/01/2020,12/04/2021,Male,28 Years,9749,415
12/08/2021,01/01/2020,12/04/2021,Male,29 Years,10468,509
12/08/2021,01/01/2020,12/04/2021,Male,30 Years,10957,548
12/08/2021,01/01/2020,12/04/2021,Male,31 Years,11232,632
12/08/2021,01/01/2020,12/04/2021,Male,32 Years,11252,640
12/08/2021,01/01/2020,12/04/2021,Male,33 Years,11387,732
12/08/2021,01/01/2020,12/04/2021,Male,34 Years,11703,813
12/08/2021,01/01/2020,12/04/2021,Male,35 Years,12128,873
12/08/2021,01/01/2020,12/04/2021,Male,36 Years,12342,956
12/08/2021,01/01/2020,12/04/2021,Male,37 Years,12782,1092
12/08/2021,01/01/2020,12/04/2021,Male,38 Years,13265,1119
12/08/2021,01/01/2020,12/04/2021,Male,39 Years,14165,1250
12/08/2021,01/01/2020,12/04/2021,Male,40 Years,14522,1290
12/08/2021,01/01/2020,12/04/2021,Male,41 Years,14740,1506
12/08/2021,01/01/2020,12/04/2021,Male,42 Years,14713,1643
12/08/2021,01/01/2020,12/04/2021,Male,43 Years,15285,1745
12/08/2021,01/01/2020,12/04/2021,Male,44 Years,15503,1988
12/08/2021,01/01/2020,12/04/2021,Male,45 Years,16170,2166
12/08/2021,01/01/2020,12/04/2021,Male,46 Years,17303,2351
12/08/2021,01/01/2020,12/04/2021,Male,47 Years,18357,2580
12/08/2021,01/01/2020,12/04/2021,Male,48 Years,20669,2927
12/08/2021,01/01/2020,12/04/2021,Male,49 Years,23124,3258
12/08/2021,01/01/2020,12/04/2021,Male,50 Years,25651,3713
12/08/2021,01/01/2020,12/04/2021,Male,51 Years,26451,3845
12/08/2021,01/01/2020,12/04/2021,Male,52 Years,28177,4118
12/08/2021,01/01/2020,12/04/2021,Male,53 Years,29817,4192
12/08/2021,01/01/2020,12/04/2021,Male,54 Years,32922,4565
12/08/2021,01/01/2020,12/04/2021,Male,55 Years,36726,4954
12/08/2021,01/01/2020,12/04/2021,Male,56 Years,40964,5663
12/08/2021,01/01/2020,12/04/2021,Male,57 Years,43936,5824
12/08/2021,01/01/2020,12/04/2021,Male,58 Years,47665,6156
12/08/2021,01/01/2020,12/04/2021,Male,59 Years,51383,6987
12/08/2021,01/01/2020,12/04/2021,Male,60 Years,55322,7358
12/08/2021,01/01/2020,12/04/2021,Male,61 Years,58379,7770
12/08/2021,01/01/2020,12/04/2021,Male,62 Years,61238,8313
12/08/2021,01/01/2020,12/04/2021,Male,63 Years,64914,8755
12/08/2021,01/01/2020,12/04/2021,Male,64 Years,66751,8905
12/08/2021,01/01/2020,12/04/2021,Male,65 Years,68037,9365
12/08/2021,01/01/2020,12/04/2021,Male,66 Years,69819,9565
12/08/2021,01/01/2020,12/04/2021,Male,67 Years,70678,9566
12/08/2021,01/01/2020,12/04/2021,Male,68 Years,72190,10019
12/08/2021,01/01/2020,12/04/2021,Male,69 Years,73098,10330
12/08/2021,01/01/2020,12/04/2021,Male,70 Years,75326,10785
12/08/2021,01/01/2020,12/04/2021,Male,71 Years,77184,10978
12/08/2021,01/01/2020,12/04/2021,Male,72 Years,81402,11726
12/08/2021,01/01/2020,12/04/2021,Male,73 Years,87279,12526
12/08/2021,01/01/2020,12/04/2021,Male,74 Years,83169,12174
12/08/2021,01/01/2020,12/04/2021,Male,75 Years,75874,11109
12/08/2021,01/01/2020,12/04/2021,Male,76 Years,79527,11535
12/08/2021,01/01/2020,12/04/2021,Male,77 Years,85176,12166
12/08/2021,01/01/2020,12/04/2021,Male,78 Years,85999,12205
12/08/2021,01/01/2020,12/04/2021,Male,79 Years,82112,11645
12/08/2021,01/01/2020,12/04/2021,Male,80 Years,80418,11486
12/08/2021,01/01/2020,12/04/2021,Male,81 Years,80170,11128
12/08/2021,01/01/2020,12/04/2021,Male,82 Years,80260,11119
12/08/2021,01/01/2020,12/04/2021,Male,83 Years,79981,11165
12/08/2021,01/01/2020,12/04/2021,Male,84 Years,78635,10616
12/08/2021,01/01/2020,12/04/2021,Male,85 Years and over,724359,89664
